,Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
0,90.0,2014.0,3.35,5.59,27000.0,2.0,0.0,1.0,0.0
1,93.0,2013.0,4.75,9.54,43000.0,1.0,0.0,1.0,0.0
2,68.0,2017.0,7.25,9.85,6900.0,2.0,0.0,1.0,0.0
3,96.0,2011.0,2.85,4.15,5200.0,2.0,0.0,1.0,0.0
4,92.0,2014.0,4.6,6.87,42450.0,1.0,0.0,1.0,0.0
5,95.0,2018.0,9.25,9.83,2071.0,1.0,0.0,1.0,0.0
6,68.0,2015.0,6.75,8.12,18796.0,2.0,0.0,1.0,0.0
7,91.0,2015.0,6.5,8.61,33429.0,1.0,0.0,1.0,0.0
8,68.0,2016.0,8.75,8.89,20273.0,1.0,0.0,1.0,0.0
9,68.0,2015.0,7.45,8.92,42367.0,1.0,0.0,1.0,0.0
10,62.0,2017.0,2.85,3.6,2135.0,2.0,0.0,1.0,0.0
11,68.0,2015.0,6.85,10.38,51000.0,1.0,0.0,1.0,0.0
12,68.0,2015.0,7.5,9.94,15000.0,2.0,0.0,0.0,0.0
13,76.0,2015.0,6.1,7.71,26000.0,2.0,0.0,1.0,0.0
14,73.0,2009.0,2.25,7.21,77427.0,2.0,0.0,1.0,0.0
15,76.0,2016.0,7.75,10.79,43000.0,1.0,0.0,1.0,0.0
16,76.0,2015.0,7.25,10.79,41678.0,1.0,0.0,1.0,0.0
17,76.0,2016.0,7.75,10.79,43000.0,1.0,0.0,1.0,0.0
18,96.0,2015.0,3.25,5.09,35500.0,0.0,0.0,1.0,0.0
19,93.0,2010.0,2.65,7.98,41442.0,2.0,0.0,1.0,0.0
20,63.0,2016.0,2.85,3.95,25000.0,2.0,0.0,1.0,0.0
21,85.0,2017.0,4.9,5.71,2400.0,2.0,0.0,1.0,0.0
22,93.0,2011.0,4.4,8.01,50000.0,2.0,0.0,0.0,0.0
23,63.0,2014.0,2.5,3.46,45280.0,2.0,0.0,1.0,0.0
24,96.0,2013.0,2.9,4.41,56879.0,2.0,0.0,1.0,0.0
25,92.0,2011.0,3.0,4.99,20000.0,2.0,0.0,1.0,0.0
26,92.0,2013.0,4.15,5.87,55138.0,2.0,0.0,1.0,0.0
27,92.0,2017.0,6.0,6.49,16200.0,2.0,1.0,1.0,0.0
28,63.0,2010.0,1.95,3.95,44542.0,2.0,0.0,1.0,0.0
29,68.0,2015.0,7.45,10.38,45000.0,1.0,0.0,1.0,0.0
30,90.0,2012.0,3.1,5.98,51439.0,1.0,0.0,1.0,0.0
31,90.0,2011.0,2.35,4.89,54200.0,2.0,0.0,1.0,0.0
32,92.0,2014.0,4.95,7.49,39000.0,1.0,0.0,1.0,0.0
33,76.0,2014.0,6.0,9.95,45000.0,1.0,0.0,1.0,0.0
34,73.0,2014.0,5.5,8.06,45000.0,1.0,0.0,1.0,0.0
35,93.0,2011.0,2.95,7.74,49998.0,0.0,0.0,1.0,0.0
36,73.0,2015.0,4.65,7.2,48767.0,2.0,0.0,1.0,0.0
37,0.0,2003.0,0.35,2.28,127000.0,2.0,1.0,1.0,0.0
38,63.0,2016.0,3.0,3.76,10079.0,2.0,0.0,1.0,0.0
39,93.0,2003.0,2.25,7.98,62000.0,2.0,0.0,1.0,0.0
40,65.0,2016.0,5.85,7.87,24524.0,2.0,0.0,0.0,0.0
41,63.0,2014.0,2.55,3.98,46706.0,2.0,0.0,1.0,0.0
42,93.0,2008.0,1.95,7.15,58000.0,2.0,0.0,1.0,0.0
43,73.0,2014.0,5.5,8.06,45780.0,1.0,0.0,1.0,0.0
44,89.0,2012.0,1.25,2.69,50000.0,2.0,0.0,1.0,0.0
45,68.0,2014.0,7.5,12.04,15000.0,2.0,0.0,0.0,0.0
46,90.0,2013.0,2.65,4.89,64532.0,2.0,0.0,1.0,0.0
47,96.0,2006.0,1.05,4.15,65000.0,2.0,0.0,1.0,0.0
48,76.0,2015.0,5.8,7.71,25870.0,2.0,0.0,1.0,0.0
49,68.0,2017.0,7.75,9.29,37000.0,2.0,0.0,0.0,0.0
50,81.0,2012.0,14.9,30.61,104707.0,1.0,0.0,0.0,0.0
51,81.0,2015.0,23.0,30.61,40000.0,1.0,0.0,0.0,0.0
52,86.0,2017.0,18.0,19.77,15000.0,1.0,0.0,0.0,0.0
53,81.0,2013.0,16.0,30.61,135000.0,1.0,1.0,0.0,0.0
54,86.0,2005.0,2.75,10.21,90000.0,2.0,1.0,1.0,0.0
55,71.0,2009.0,3.6,15.04,70000.0,2.0,0.0,0.0,0.0
56,77.0,2015.0,4.5,7.27,40534.0,2.0,0.0,1.0,0.0
57,71.0,2010.0,4.75,18.54,50000.0,2.0,0.0,1.0,0.0
58,78.0,2014.0,4.1,6.8,39485.0,2.0,0.0,1.0,1.0
59,81.0,2014.0,19.99,35.96,41000.0,1.0,0.0,0.0,0.0
60,71.0,2013.0,6.95,18.61,40001.0,2.0,0.0,1.0,0.0
61,77.0,2015.0,4.5,7.7,40588.0,2.0,0.0,1.0,0.0
62,81.0,2014.0,18.75,35.96,78000.0,1.0,0.0,0.0,0.0
63,81.0,2015.0,23.5,35.96,47000.0,1.0,0.0,0.0,0.0
64,81.0,2017.0,33.0,36.23,6000.0,1.0,0.0,0.0,0.0
65,80.0,2014.0,4.75,6.95,45000.0,1.0,0.0,1.0,0.0
66,86.0,2017.0,19.75,23.15,11000.0,2.0,0.0,0.0,0.0
67,81.0,2010.0,9.25,20.45,59000.0,1.0,0.0,1.0,0.0
68,71.0,2011.0,4.35,13.74,88000.0,2.0,0.0,1.0,0.0
69,71.0,2016.0,14.25,20.91,12000.0,2.0,0.0,1.0,0.0
70,80.0,2014.0,3.95,6.76,71000.0,1.0,0.0,1.0,0.0
71,71.0,2011.0,4.5,12.48,45000.0,1.0,0.0,1.0,0.0
72,71.0,2013.0,7.45,18.61,56001.0,2.0,0.0,1.0,0.0
73,80.0,2011.0,2.65,5.71,43000.0,2.0,0.0,1.0,0.0
74,77.0,2014.0,4.9,8.93,83000.0,1.0,0.0,1.0,0.0
75,78.0,2015.0,3.95,6.8,36000.0,2.0,0.0,1.0,0.0
76,71.0,2013.0,5.5,14.68,72000.0,2.0,0.0,1.0,0.0
77,70.0,2004.0,1.5,12.35,135154.0,2.0,0.0,0.0,0.0
78,71.0,2010.0,5.25,22.83,80000.0,2.0,0.0,0.0,0.0
79,81.0,2012.0,14.5,30.61,89000.0,1.0,0.0,0.0,0.0
80,71.0,2016.0,14.73,14.89,23000.0,1.0,0.0,1.0,0.0
81,79.0,2015.0,4.75,7.85,40000.0,1.0,0.0,1.0,0.0
82,86.0,2017.0,23.0,25.39,15000.0,1.0,0.0,0.0,0.0
83,86.0,2015.0,12.5,13.46,38000.0,1.0,0.0,1.0,0.0
84,86.0,2005.0,3.49,13.46,197176.0,1.0,0.0,1.0,0.0
85,67.0,2006.0,2.5,23.73,142000.0,2.0,1.0,0.0,3.0
86,88.0,2010.0,35.0,92.6,78000.0,1.0,0.0,1.0,0.0
87,71.0,2012.0,5.9,13.74,56000.0,2.0,0.0,1.0,0.0
88,80.0,2013.0,3.45,6.05,47000.0,2.0,0.0,1.0,0.0
89,78.0,2014.0,4.75,6.76,40000.0,2.0,0.0,1.0,0.0
90,71.0,2009.0,3.8,18.61,62000.0,2.0,0.0,1.0,0.0
91,86.0,2014.0,11.25,16.09,58242.0,1.0,0.0,1.0,0.0
92,86.0,2005.0,3.51,13.7,75000.0,2.0,0.0,1.0,0.0
93,81.0,2015.0,23.0,30.61,40000.0,1.0,0.0,0.0,0.0
94,71.0,2008.0,4.0,22.78,89000.0,2.0,0.0,0.0,0.0
95,71.0,2012.0,5.85,18.61,72000.0,2.0,0.0,1.0,0.0
96,86.0,2016.0,20.75,25.39,29000.0,1.0,0.0,0.0,0.0
97,71.0,2017.0,17.0,18.64,8700.0,2.0,0.0,1.0,0.0
98,71.0,2013.0,7.05,18.61,45000.0,2.0,0.0,1.0,0.0
99,81.0,2010.0,9.65,20.45,50024.0,1.0,0.0,1.0,0.0
100,49.0,2016.0,1.75,1.9,3000.0,2.0,1.0,1.0,0.0
101,56.0,2017.0,1.7,1.82,1400.0,2.0,1.0,1.0,0.0
102,42.0,2017.0,1.65,1.78,4000.0,2.0,1.0,1.0,0.0
103,11.0,2017.0,1.45,1.6,1200.0,2.0,1.0,1.0,0.0
104,46.0,2017.0,1.35,1.47,4100.0,2.0,1.0,1.0,0.0
105,43.0,2015.0,1.35,2.37,21700.0,2.0,1.0,1.0,0.0
106,40.0,2014.0,1.35,3.45,16500.0,2.0,1.0,1.0,1.0
107,48.0,2013.0,1.25,1.5,15000.0,2.0,1.0,1.0,0.0
108,48.0,2016.0,1.2,1.5,18000.0,2.0,1.0,1.0,0.0
109,46.0,2017.0,1.2,1.47,11000.0,2.0,1.0,1.0,0.0
110,42.0,2016.0,1.2,1.78,6000.0,2.0,1.0,1.0,0.0
111,48.0,2016.0,1.15,1.5,8700.0,2.0,1.0,1.0,0.0
112,41.0,2014.0,1.15,2.4,7000.0,2.0,1.0,1.0,0.0
113,44.0,2016.0,1.15,1.4,35000.0,2.0,1.0,1.0,0.0
114,46.0,2015.0,1.15,1.47,17000.0,2.0,1.0,1.0,0.0
115,46.0,2015.0,1.11,1.47,17500.0,2.0,1.0,1.0,0.0
116,46.0,2013.0,1.1,1.47,33000.0,2.0,1.0,1.0,0.0
117,49.0,2015.0,1.1,1.9,14000.0,2.0,1.0,1.0,0.0
118,46.0,2015.0,1.1,1.47,26000.0,2.0,1.0,1.0,0.0
119,49.0,2013.0,1.05,1.9,5400.0,2.0,1.0,1.0,0.0
120,17.0,2016.0,1.05,1.26,5700.0,2.0,1.0,1.0,0.0
121,48.0,2011.0,1.05,1.5,6900.0,2.0,1.0,1.0,0.0
122,45.0,2016.0,1.05,1.17,6000.0,2.0,1.0,1.0,0.0
123,46.0,2013.0,1.0,1.47,46500.0,2.0,1.0,1.0,0.0
124,47.0,2012.0,0.95,1.75,11500.0,2.0,1.0,1.0,0.0
125,47.0,2009.0,0.9,1.75,40000.0,2.0,1.0,1.0,0.0
126,6.0,2017.0,0.9,0.95,1300.0,2.0,1.0,1.0,0.0
127,4.0,2016.0,0.75,0.8,7000.0,2.0,1.0,1.0,0.0
128,32.0,2017.0,0.8,0.87,3000.0,2.0,1.0,1.0,0.0
129,60.0,2017.0,0.78,0.84,5000.0,2.0,1.0,1.0,0.0
130,32.0,2017.0,0.75,0.87,11000.0,2.0,1.0,1.0,0.0
131,58.0,2015.0,0.75,0.82,18000.0,2.0,1.0,1.0,0.0
132,6.0,2017.0,0.75,0.95,3500.0,2.0,1.0,1.0,0.0
133,6.0,2016.0,0.72,0.95,500.0,2.0,1.0,1.0,0.0
134,51.0,2017.0,0.65,0.81,11800.0,2.0,1.0,1.0,0.0
135,14.0,2015.0,0.65,0.74,5000.0,2.0,1.0,1.0,0.0
136,37.0,2014.0,0.65,1.2,23500.0,2.0,1.0,1.0,0.0
137,20.0,2013.0,0.65,0.787,16000.0,2.0,1.0,1.0,0.0
138,32.0,2016.0,0.6,0.87,15000.0,2.0,1.0,1.0,0.0
139,7.0,2015.0,0.6,0.95,16600.0,2.0,1.0,1.0,0.0
140,37.0,2013.0,0.6,1.2,32000.0,2.0,1.0,1.0,0.0
141,5.0,2016.0,0.6,0.8,20000.0,2.0,1.0,1.0,0.0
142,57.0,2015.0,0.6,0.84,29000.0,2.0,1.0,1.0,0.0
143,57.0,2016.0,0.6,0.84,25000.0,2.0,1.0,1.0,0.0
144,12.0,2014.0,0.6,0.99,25000.0,2.0,1.0,1.0,0.0
145,51.0,2012.0,0.6,0.81,19000.0,2.0,1.0,1.0,0.0
146,20.0,2014.0,0.55,0.787,15000.0,2.0,1.0,1.0,0.0
147,60.0,2015.0,0.55,0.84,58000.0,2.0,1.0,1.0,0.0
148,15.0,2010.0,0.52,0.94,45000.0,2.0,1.0,1.0,0.0
149,15.0,2016.0,0.51,0.94,24000.0,2.0,1.0,1.0,0.0
150,52.0,2011.0,0.5,0.826,6000.0,2.0,1.0,1.0,0.0
151,26.0,2016.0,0.5,0.55,31000.0,2.0,1.0,1.0,0.0
152,16.0,2012.0,0.5,0.99,13000.0,2.0,1.0,1.0,0.0
153,16.0,2013.0,0.5,0.99,45000.0,2.0,1.0,1.0,0.0
154,61.0,2014.0,0.5,0.88,8000.0,2.0,1.0,1.0,0.0
155,31.0,2017.0,0.48,0.51,4300.0,2.0,1.0,0.0,0.0
156,54.0,2017.0,0.48,0.52,15000.0,2.0,1.0,1.0,0.0
157,60.0,2015.0,0.48,0.84,23000.0,2.0,1.0,1.0,0.0
158,38.0,2017.0,0.48,0.54,8600.0,2.0,1.0,1.0,0.0
159,31.0,2017.0,0.45,0.51,4000.0,2.0,1.0,0.0,0.0
160,8.0,2011.0,0.45,0.95,24000.0,2.0,1.0,1.0,0.0
161,52.0,2014.0,0.45,0.826,23000.0,2.0,1.0,1.0,0.0
162,16.0,2012.0,0.45,0.99,14500.0,2.0,1.0,1.0,0.0
163,7.0,2010.0,0.45,0.95,27000.0,2.0,1.0,1.0,0.0
164,28.0,2016.0,0.45,0.54,14000.0,2.0,1.0,1.0,0.0
165,1.0,2016.0,0.45,0.54,500.0,2.0,1.0,0.0,0.0
166,25.0,2016.0,0.45,0.55,1000.0,2.0,1.0,1.0,0.0
167,51.0,2014.0,0.42,0.81,42000.0,2.0,1.0,1.0,0.0
168,34.0,2013.0,0.42,0.73,12000.0,2.0,1.0,1.0,0.0
169,28.0,2015.0,0.4,0.54,14000.0,2.0,1.0,1.0,0.0
170,59.0,2012.0,0.4,0.83,5500.0,2.0,1.0,1.0,0.0
171,25.0,2015.0,0.4,0.55,6700.0,2.0,1.0,1.0,0.0
172,13.0,2014.0,0.4,0.64,13700.0,2.0,1.0,1.0,0.0
173,2.0,2017.0,0.4,0.51,1300.0,2.0,1.0,0.0,0.0
174,35.0,2015.0,0.38,0.72,38600.0,2.0,1.0,1.0,0.0
175,22.0,2011.0,0.38,0.787,75000.0,2.0,1.0,1.0,0.0
176,39.0,2011.0,0.35,1.05,30000.0,2.0,1.0,1.0,0.0
177,30.0,2016.0,0.35,0.57,24000.0,2.0,1.0,0.0,0.0
178,53.0,2014.0,0.35,0.52,19000.0,2.0,1.0,0.0,0.0
179,39.0,2010.0,0.31,1.05,213000.0,2.0,1.0,1.0,0.0
180,23.0,2012.0,0.3,0.51,60000.0,2.0,1.0,1.0,0.0
181,27.0,2016.0,0.3,0.48,50000.0,2.0,1.0,1.0,0.0
182,33.0,2013.0,0.3,0.58,30000.0,2.0,1.0,1.0,0.0
183,9.0,2013.0,0.27,0.47,21000.0,2.0,1.0,1.0,0.0
184,14.0,2008.0,0.25,0.75,26000.0,2.0,1.0,1.0,1.0
185,50.0,2008.0,0.25,0.58,1900.0,2.0,1.0,0.0,0.0
186,55.0,2010.0,0.25,0.52,22000.0,2.0,1.0,0.0,0.0
187,36.0,2013.0,0.25,0.51,32000.0,2.0,1.0,1.0,0.0
188,21.0,2013.0,0.25,0.57,18000.0,2.0,1.0,1.0,0.0
189,29.0,2005.0,0.2,0.57,55000.0,2.0,1.0,1.0,0.0
190,14.0,2008.0,0.2,0.75,60000.0,2.0,1.0,1.0,0.0
191,10.0,2012.0,0.2,0.57,25000.0,2.0,1.0,1.0,1.0
192,24.0,2007.0,0.2,0.75,49000.0,2.0,1.0,1.0,1.0
193,19.0,2013.0,0.2,0.65,24000.0,2.0,1.0,1.0,1.0
194,18.0,2008.0,0.2,0.787,50000.0,2.0,1.0,1.0,0.0
195,3.0,2015.0,0.18,0.32,35000.0,2.0,1.0,1.0,0.0
196,1.0,2008.0,0.17,0.52,500000.0,2.0,1.0,0.0,0.0
197,36.0,2010.0,0.16,0.51,33000.0,2.0,1.0,1.0,0.0
198,10.0,2011.0,0.15,0.57,35000.0,2.0,1.0,1.0,1.0
199,33.0,2007.0,0.12,0.58,53000.0,2.0,1.0,1.0,0.0
200,14.0,2006.0,0.1,0.75,92233.0,2.0,1.0,1.0,0.0
201,84.0,2010.0,3.25,6.79,58000.0,1.0,0.0,1.0,1.0
202,82.0,2015.0,4.4,5.7,28200.0,2.0,0.0,1.0,0.0
203,83.0,2011.0,2.95,4.6,53460.0,2.0,0.0,1.0,0.0
204,75.0,2015.0,2.75,4.43,28282.0,2.0,0.0,1.0,0.0
205,82.0,2016.0,5.25,5.7,3493.0,2.0,0.0,1.0,1.0
206,97.0,2017.0,5.75,7.13,12479.0,2.0,0.0,1.0,0.0
207,82.0,2015.0,5.15,5.7,34797.0,2.0,0.0,0.0,0.0
208,84.0,2017.0,7.9,8.1,3435.0,2.0,0.0,1.0,0.0
209,82.0,2015.0,4.85,5.7,21125.0,1.0,0.0,1.0,0.0
210,83.0,2012.0,3.1,4.6,35775.0,2.0,0.0,1.0,0.0
211,74.0,2015.0,11.75,14.79,43535.0,1.0,0.0,1.0,0.0
212,72.0,2016.0,11.25,13.6,22671.0,2.0,0.0,1.0,0.0
213,84.0,2011.0,2.9,6.79,31604.0,2.0,0.0,1.0,0.0
214,82.0,2017.0,5.25,5.7,20114.0,2.0,0.0,1.0,0.0
215,94.0,2012.0,4.5,9.4,36100.0,2.0,0.0,1.0,0.0
216,75.0,2016.0,2.9,4.43,12500.0,2.0,0.0,1.0,0.0
217,75.0,2016.0,3.15,4.43,15000.0,2.0,0.0,1.0,0.0
218,94.0,2014.0,6.45,9.4,45078.0,2.0,0.0,1.0,0.0
219,94.0,2012.0,4.5,9.4,36000.0,2.0,0.0,1.0,0.0
220,75.0,2017.0,3.5,4.43,38488.0,2.0,0.0,1.0,0.0
221,84.0,2013.0,4.5,6.79,32000.0,2.0,0.0,0.0,0.0
222,84.0,2014.0,6.0,7.6,77632.0,1.0,0.0,1.0,0.0
223,94.0,2015.0,8.25,9.4,61381.0,1.0,0.0,1.0,0.0
224,94.0,2013.0,5.11,9.4,36198.0,2.0,0.0,0.0,0.0
225,83.0,2011.0,2.7,4.6,22517.0,2.0,0.0,1.0,0.0
226,82.0,2015.0,5.25,5.7,24678.0,2.0,0.0,1.0,0.0
227,83.0,2011.0,2.55,4.43,57000.0,2.0,0.0,1.0,0.0
228,94.0,2012.0,4.95,9.4,60000.0,1.0,0.0,1.0,0.0
229,84.0,2012.0,3.1,6.79,52132.0,1.0,0.0,1.0,0.0
230,94.0,2013.0,6.15,9.4,45000.0,1.0,0.0,1.0,0.0
231,94.0,2017.0,9.25,9.4,15001.0,2.0,0.0,1.0,0.0
232,74.0,2015.0,11.45,14.79,12900.0,2.0,0.0,0.0,0.0
233,82.0,2013.0,3.9,5.7,53000.0,1.0,0.0,1.0,0.0
234,82.0,2015.0,5.5,5.7,4492.0,2.0,0.0,1.0,0.0
235,94.0,2017.0,9.1,9.4,15141.0,2.0,0.0,1.0,0.0
236,75.0,2016.0,3.1,4.43,11849.0,2.0,0.0,1.0,0.0
237,72.0,2015.0,11.25,13.6,68000.0,1.0,0.0,1.0,0.0
238,94.0,2013.0,4.8,9.4,60241.0,2.0,0.0,1.0,0.0
239,75.0,2012.0,2.0,4.43,23709.0,2.0,0.0,1.0,0.0
240,94.0,2012.0,5.35,9.4,32322.0,1.0,0.0,1.0,0.0
241,97.0,2015.0,4.75,7.13,35866.0,2.0,0.0,1.0,1.0
242,97.0,2014.0,4.4,7.13,34000.0,2.0,0.0,1.0,0.0
243,84.0,2016.0,6.25,7.6,7000.0,2.0,0.0,1.0,0.0
244,94.0,2013.0,5.95,9.4,49000.0,1.0,0.0,1.0,0.0
245,94.0,2012.0,5.2,9.4,71000.0,1.0,0.0,1.0,0.0
246,84.0,2012.0,3.75,6.79,35000.0,2.0,0.0,1.0,0.0
247,94.0,2015.0,5.95,9.4,36000.0,2.0,0.0,1.0,0.0
248,83.0,2013.0,4.0,4.6,30000.0,2.0,0.0,1.0,0.0
249,84.0,2016.0,5.25,7.6,17000.0,2.0,0.0,1.0,0.0
250,72.0,2016.0,12.9,13.6,35934.0,1.0,0.0,1.0,0.0
251,69.0,2013.0,5.0,9.9,56701.0,2.0,0.0,1.0,0.0
252,66.0,2015.0,5.4,6.82,31427.0,2.0,0.0,0.0,0.0
253,69.0,2014.0,7.2,9.9,48000.0,1.0,0.0,1.0,0.0
254,69.0,2013.0,5.25,9.9,54242.0,2.0,0.0,1.0,0.0
255,66.0,2012.0,3.0,5.35,53675.0,2.0,0.0,1.0,0.0
256,69.0,2016.0,10.25,13.6,49562.0,2.0,0.0,1.0,0.0
257,69.0,2015.0,8.5,13.6,40324.0,2.0,0.0,1.0,0.0
258,69.0,2015.0,8.4,13.6,25000.0,2.0,0.0,1.0,0.0
259,64.0,2014.0,3.9,7.0,36054.0,2.0,0.0,1.0,0.0
260,69.0,2016.0,9.15,13.6,29223.0,2.0,0.0,1.0,0.0
261,66.0,2016.0,5.5,5.97,5600.0,2.0,0.0,1.0,0.0
262,64.0,2015.0,4.0,5.8,40023.0,2.0,0.0,1.0,0.0
263,87.0,2016.0,6.6,7.7,16002.0,2.0,0.0,1.0,0.0
264,64.0,2015.0,4.0,7.0,40026.0,2.0,0.0,1.0,0.0
265,87.0,2017.0,6.5,8.7,21200.0,2.0,0.0,1.0,0.0
266,64.0,2014.0,3.65,7.0,35000.0,2.0,0.0,1.0,0.0
267,69.0,2016.0,8.35,9.4,19434.0,1.0,0.0,1.0,0.0
268,66.0,2017.0,4.8,5.8,19000.0,2.0,0.0,1.0,0.0
269,69.0,2015.0,6.7,10.0,18828.0,2.0,0.0,1.0,0.0
270,69.0,2011.0,4.1,10.0,69341.0,2.0,0.0,1.0,0.0
271,69.0,2009.0,3.0,10.0,69562.0,2.0,0.0,1.0,0.0
272,69.0,2015.0,7.5,10.0,27600.0,2.0,0.0,1.0,0.0
273,87.0,2010.0,2.25,7.5,61203.0,2.0,0.0,1.0,0.0
274,66.0,2014.0,5.3,6.8,16500.0,2.0,0.0,1.0,0.0
275,69.0,2016.0,10.9,13.6,30753.0,2.0,0.0,0.0,0.0
276,69.0,2015.0,8.65,13.6,24800.0,2.0,0.0,1.0,0.0
277,69.0,2015.0,9.7,13.6,21780.0,2.0,0.0,1.0,0.0
278,87.0,2016.0,6.0,8.4,4000.0,2.0,0.0,1.0,0.0
279,69.0,2014.0,6.25,13.6,40126.0,2.0,0.0,1.0,0.0
280,66.0,2015.0,5.25,5.9,14465.0,2.0,0.0,1.0,0.0
281,69.0,2006.0,2.1,7.6,50456.0,2.0,0.0,1.0,0.0
282,69.0,2014.0,8.25,14.0,63000.0,1.0,0.0,1.0,0.0
283,69.0,2016.0,8.99,11.8,9010.0,2.0,0.0,1.0,0.0
284,66.0,2013.0,3.5,5.9,9800.0,2.0,0.0,1.0,0.0
285,87.0,2016.0,7.4,8.5,15059.0,2.0,0.0,0.0,0.0
286,87.0,2016.0,5.65,7.9,28569.0,2.0,0.0,1.0,0.0
287,64.0,2015.0,5.75,7.5,44000.0,2.0,0.0,0.0,0.0
288,69.0,2015.0,8.4,13.6,34000.0,2.0,0.0,1.0,0.0
289,69.0,2016.0,10.11,13.6,10980.0,2.0,0.0,1.0,0.0
290,64.0,2014.0,4.5,6.4,19000.0,2.0,0.0,1.0,0.0
291,66.0,2015.0,5.4,6.1,31427.0,2.0,0.0,1.0,0.0
292,87.0,2016.0,6.4,8.4,12000.0,2.0,0.0,1.0,0.0
293,69.0,2010.0,3.25,9.9,38000.0,2.0,0.0,1.0,0.0
294,64.0,2014.0,3.75,6.8,33019.0,2.0,0.0,1.0,0.0
295,69.0,2015.0,8.55,13.09,60076.0,1.0,0.0,1.0,0.0
296,69.0,2016.0,9.5,11.6,33988.0,1.0,0.0,1.0,0.0
297,66.0,2015.0,4.0,5.9,60000.0,2.0,0.0,1.0,0.0
298,69.0,2009.0,3.35,11.0,87934.0,2.0,0.0,1.0,0.0
299,69.0,2017.0,11.5,12.5,9000.0,1.0,0.0,1.0,0.0
300,66.0,2016.0,5.3,5.9,5464.0,2.0,0.0,1.0,0.0
